                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     45,                 1.9527,                 1.8196,                 2.5862,                0.87078,                0.65217,                 0.8521,                0.40331,                 1.5425,                 2.3625,                 2.3155,              0.0015644,              0.0015644,              0.0015644
                     46,                 2.0711,                 2.0213,                 2.7485,                0.87181,                0.69565,                0.89033,                0.50145,                 1.3142,                 1.7133,                 2.0571,              0.0015545,              0.0015545,              0.0015545
                     47,                 1.8978,                   1.89,                 2.6014,                0.75116,                0.78753,                0.86305,                0.40443,                 1.7791,                 1.7109,                 2.4265,              0.0015446,              0.0015446,              0.0015446
                     48,                 1.9838,                 1.7765,                 2.5764,                0.71847,                0.81371,                0.84003,                0.46986,                 1.3887,                 1.8784,                 2.1055,              0.0015347,              0.0015347,              0.0015347
                     49,                  1.817,                 1.7557,                 2.5519,                0.71478,                 0.7264,                0.83223,                0.47547,                 1.3015,                  1.843,                 2.0595,              0.0015248,              0.0015248,              0.0015248
                     50,                 1.9374,                 1.8885,                 2.5869,                0.66645,                0.75362,                0.82189,                0.47928,                 1.2771,                 1.9883,                 2.0248,              0.0015149,              0.0015149,              0.0015149
                     51,                 1.8882,                 1.7876,                 2.5342,                0.89386,                0.73233,                0.89123,                0.55428,                 1.3666,                  1.446,                 2.0833,               0.001505,               0.001505,               0.001505
                     52,                 1.7547,                 1.5708,                 2.4073,                0.86651,                 0.7971,                0.87571,                0.56612,                 1.5015,                  1.445,                 2.2227,              0.0014951,              0.0014951,              0.0014951
                     53,                 1.7304,                 1.5664,                 2.3824,                0.92545,                0.81159,                0.90195,                0.55707,                 1.4876,                  1.342,                  2.221,              0.0014852,              0.0014852,              0.0014852
                     54,                 1.8672,                 1.5692,                 2.4817,                0.94654,                0.81159,                0.91839,                0.55765,                 1.3247,                 1.1795,                 2.1191,              0.0014753,              0.0014753,              0.0014753
                     55,                 1.8326,                 1.6077,                 2.4041,                0.96197,                0.73333,                 0.9055,                0.57482,                 1.2587,                  1.267,                 2.1415,              0.0014654,              0.0014654,              0.0014654
                     56,                 2.0543,                 1.7787,                 2.6644,                0.77657,                0.94203,                0.92874,                0.58936,                 1.1972,                 1.1564,                 2.1604,              0.0014555,              0.0014555,              0.0014555
                     57,                 1.7352,                 1.4813,                 2.4468,                0.89169,                0.82609,                0.94043,                0.61031,                 1.2079,                 1.1274,                 2.0991,              0.0014456,              0.0014456,              0.0014456
                     58,                 1.5495,                 1.4338,                 2.3227,                0.90103,                0.79171,                0.87955,                0.61966,                 1.1133,                 1.1797,                 1.9808,              0.0014357,              0.0014357,              0.0014357
                     59,                 1.8567,                 1.5338,                   2.46,                0.86226,                 0.8166,                0.90159,                0.62043,                 1.1263,                 1.1931,                 1.9396,              0.0014258,              0.0014258,              0.0014258
                     60,                 1.7217,                 1.4324,                 2.3182,                0.89045,                0.85507,                0.95074,                0.70815,                 1.0264,                 1.0158,                 1.8117,              0.0014159,              0.0014159,              0.0014159
                     61,                  1.512,                 1.2931,                 2.2403,                0.98103,                 0.7971,                0.95553,                0.70956,                0.99121,                 1.0029,                 1.8274,               0.001406,               0.001406,               0.001406
                     62,                 1.5955,                 1.3856,                  2.319,                0.89543,                0.94203,                0.97121,                0.67818,                 1.1531,                  1.046,                 2.0065,              0.0013961,              0.0013961,              0.0013961
                     63,                 1.7171,                 1.3615,                 2.4232,                0.81979,                0.85507,                0.91823,                0.61149,                 1.1641,                 1.2035,                 2.0463,              0.0013862,              0.0013862,              0.0013862
                     64,                 1.6394,                 1.3677,                 2.3624,                0.90486,                  0.827,                0.94431,                0.65696,                 1.1644,                 1.2158,                 2.0067,              0.0013763,              0.0013763,              0.0013763
                     65,                 1.5488,                 1.3131,                 2.2261,                0.92906,                0.94913,                0.98178,                0.66931,                 1.2096,                 1.0769,                  2.051,              0.0013664,              0.0013664,              0.0013664
                     66,                 1.5821,                 1.2997,                 2.2716,                0.93816,                0.87956,                0.98199,                0.71086,                 1.1149,                 1.1454,                 2.0537,              0.0013565,              0.0013565,              0.0013565
                     67,                 1.5332,                 1.2597,                 2.1923,                0.96571,                0.81631,                0.92883,                0.61626,                 1.2938,                 1.6281,                 2.3135,              0.0013466,              0.0013466,              0.0013466
                     68,                 1.5407,                 1.2563,                  2.215,                0.96911,                0.90947,                0.98174,                0.71664,                 1.0879,                 1.0062,                 1.9666,              0.0013367,              0.0013367,              0.0013367
                     69,                 1.4381,                 1.1853,                 2.0817,                0.98358,                0.86826,                0.97937,                0.69321,                 1.0863,                0.93308,                 1.9449,              0.0013268,              0.0013268,              0.0013268
                     70,                  1.514,                 1.2914,                  2.223,                0.92808,                0.93513,                0.98238,                0.70772,                 1.0402,                0.92492,                 1.8806,              0.0013169,              0.0013169,              0.0013169
                     71,                 1.5895,                 1.3466,                 2.2855,                0.95139,                0.91304,                0.98466,                0.72872,                 1.0932,                0.89067,                 1.8667,               0.001307,               0.001307,               0.001307
                     72,                 1.4767,                 1.2181,                 2.1367,                0.95764,                0.98287,                0.98881,                0.73072,                0.97927,                0.87605,                  1.848,              0.0012971,              0.0012971,              0.0012971
                     73,                 1.3737,                 1.1575,                 2.0721,                0.90468,                      1,                0.98291,                0.73514,                0.93078,                0.84657,                 1.8012,              0.0012872,              0.0012872,              0.0012872
                     74,                  1.491,                  1.218,                 2.1467,                0.93959,                0.90171,                0.97744,                0.75923,                0.99078,                 0.8776,                 1.7702,              0.0012773,              0.0012773,              0.0012773
                     75,                 1.4572,                 1.1918,                 2.1183,                0.95385,                      1,                0.99199,                0.76887,                 1.0002,                0.80554,                 1.7389,              0.0012674,              0.0012674,              0.0012674
                     76,                 1.2906,                 1.0549,                  1.985,                0.99963,                0.98551,                0.99396,                0.76928,                0.94532,                0.78987,                 1.6869,              0.0012575,              0.0012575,              0.0012575
                     77,                 1.5194,                 1.3204,                 2.1939,                      1,                0.99673,                  0.995,                0.81851,                0.81673,                0.73932,                 1.5964,              0.0012476,              0.0012476,              0.0012476
                     78,                 1.4124,                 1.0796,                 2.0263,                0.96944,                      1,                  0.995,                0.77325,                0.84153,                0.78953,                 1.6363,              0.0012377,              0.0012377,              0.0012377
                     79,                 1.2664,                 1.0419,                 1.9859,                0.91889,                0.98551,                 0.9842,                0.73879,                0.89491,                0.82004,                 1.7096,              0.0012278,              0.0012278,              0.0012278
                     80,                 1.4666,                  1.149,                  2.151,                0.98367,                      1,                0.99429,                0.77762,                0.82418,                0.69524,                 1.6202,              0.0012179,              0.0012179,              0.0012179
                     81,                 1.3274,                 1.0864,                 1.9522,                0.95726,                0.97383,                0.99245,                0.65803,                 1.1397,                0.83026,                 1.9108,               0.001208,               0.001208,               0.001208
                     82,                 1.4351,                 1.1259,                 2.0745,                0.95574,                0.93893,                0.98278,                0.64484,                 1.2499,                0.96301,                 2.0453,              0.0011981,              0.0011981,              0.0011981
                     83,                 1.2476,                 1.0061,                 1.8681,                0.97821,                0.94203,                0.98914,                0.76222,                0.90805,                0.81742,                 1.6655,              0.0011882,              0.0011882,              0.0011882
                     84,                 1.2788,                 1.0331,                  2.016,                0.98397,                0.88939,                0.96344,                0.75031,                0.92097,                 0.8485,                 1.7647,              0.0011783,              0.0011783,              0.0011783
                     85,                 1.2162,                 1.0158,                 1.8919,                      1,                0.85118,                0.96771,                0.73392,                0.91135,                0.84943,                 1.7617,              0.0011684,              0.0011684,              0.0011684
                     86,                 1.3526,                 1.0767,                 2.0229,                 0.9259,                 0.9055,                0.98038,                0.74092,                0.91986,                0.84532,                  1.744,              0.0011585,              0.0011585,              0.0011585
                     87,                 1.2309,                0.94157,                  1.878,                0.90763,                0.91304,                0.97086,                0.75496,                0.91979,                0.84018,                 1.6915,              0.0011486,              0.0011486,              0.0011486
                     88,                 1.3257,                0.98487,                 1.9133,                0.98565,                0.99578,                0.99443,                0.79641,                 0.9116,                0.75434,                  1.702,              0.0011387,              0.0011387,              0.0011387
                     89,                  1.256,                 1.0585,                 1.9156,                0.98568,                0.99783,                0.99486,                0.82298,                 0.7576,                0.67077,                 1.5721,              0.0011288,              0.0011288,              0.0011288
                     90,                 1.1931,                 1.0512,                 1.8888,                 0.9867,                      1,                  0.995,                0.81328,                0.72123,                0.68076,                 1.5645,              0.0011189,              0.0011189,              0.0011189
                     91,                 1.1617,                0.94842,                 1.8062,                0.99346,                0.98551,                0.99486,                0.83374,                0.69858,                0.74234,                 1.5664,               0.001109,               0.001109,               0.001109
                     92,                  1.156,                0.98465,                 1.8325,                 0.9796,                      1,                0.99443,                0.85134,                0.65976,                0.67941,                 1.5163,              0.0010991,              0.0010991,              0.0010991
                     93,                 1.1528,                0.99627,                 1.8307,                0.96686,                      1,                 0.9937,                0.83062,                0.72487,                0.69483,                 1.5407,              0.0010892,              0.0010892,              0.0010892
                     94,                 1.2669,                 1.0114,                  1.863,                0.98565,                0.99551,                  0.994,                0.82281,                0.76975,                0.69794,                 1.5411,              0.0010793,              0.0010793,              0.0010793
                     95,                 1.2453,                0.95562,                 1.9181,                0.98059,                0.98551,                0.99457,                0.83113,                0.71507,                0.69178,                 1.5261,              0.0010694,              0.0010694,              0.0010694
                     96,                 1.1605,                0.98495,                 1.8337,                0.99761,                      1,                  0.995,                0.81067,                0.75186,                 0.6663,                 1.5457,              0.0010595,              0.0010595,              0.0010595
                     97,                 1.0516,                  0.896,                 1.7367,                0.98388,                      1,                0.99471,                0.79301,                0.80037,                0.67572,                 1.5284,              0.0010496,              0.0010496,              0.0010496
                     98,                 1.2367,                0.96097,                 1.8353,                0.97163,                0.99283,                0.99341,                0.77149,                0.85922,                0.73671,                 1.5748,              0.0010397,              0.0010397,              0.0010397
                     99,                 1.1688,                0.89742,                 1.8333,                0.97456,                0.97101,                0.99414,                0.76631,                0.88112,                0.77679,                 1.6319,              0.0010298,              0.0010298,              0.0010298
                    100,                 1.0084,                0.87954,                 1.7086,                0.99871,                0.98551,                0.99472,                0.83224,                0.70454,                 0.6136,                 1.4302,              0.0010199,              0.0010199,              0.0010199
                    101,                  1.078,                0.87369,                 1.6928,                0.99414,                0.98551,                0.99396,                0.82593,                 0.7734,                0.67585,                 1.4862,                0.00101,                0.00101,                0.00101
                    102,                 1.0328,                0.83205,                 1.6755,                0.97116,                0.97101,                0.99312,                0.80833,                0.82575,                0.74237,                 1.5362,              0.0010001,              0.0010001,              0.0010001
                    103,                 1.0276,                 0.8335,                 1.6829,                      1,                0.99659,                  0.995,                 0.8275,                0.79468,                0.62873,                  1.488,              0.0009902,              0.0009902,              0.0009902
                    104,                 1.1105,                0.97709,                 1.7917,                0.98274,                      1,                0.99471,                0.84228,                0.72527,                0.59392,                 1.4503,              0.0009803,              0.0009803,              0.0009803
                    105,                 1.0132,                0.83474,                 1.6802,                 0.9826,                      1,                0.99471,                0.83915,                0.74979,                0.63335,                  1.456,              0.0009704,              0.0009704,              0.0009704
                    106,                 1.0407,                0.92476,                 1.7145,                0.97367,                      1,                0.99357,                0.82454,                0.72239,                0.68135,                 1.4226,              0.0009605,              0.0009605,              0.0009605
                    107,                0.96428,                0.82541,                 1.6017,                0.97999,                      1,                0.99357,                0.84665,                0.69576,                0.61891,                 1.4035,              0.0009506,              0.0009506,              0.0009506
                    108,                 1.2108,                0.99227,                 1.8455,                0.99184,                      1,                  0.995,                0.80967,                0.77708,                0.69076,                 1.4413,              0.0009407,              0.0009407,              0.0009407
                    109,                0.94844,                0.73046,                 1.5759,                0.99194,                0.98551,                0.99472,                0.78136,                0.86409,                0.83343,                  1.572,              0.0009308,              0.0009308,              0.0009308
                    110,                 1.0815,                0.81919,                 1.7337,                 0.9921,                0.98551,                0.99486,                0.79344,                0.82393,                0.76203,                 1.5214,              0.0009209,              0.0009209,              0.0009209
                    111,                 1.1143,                0.88944,                 1.7425,                      1,                 0.9954,                  0.995,                0.82456,                0.70288,                 0.5828,                 1.3979,               0.000911,               0.000911,               0.000911
                    112,                0.99334,                0.80469,                  1.645,                0.99762,                      1,                  0.995,                0.81818,                0.74397,                0.61305,                 1.4548,              0.0009011,              0.0009011,              0.0009011
                    113,                0.98392,                 0.7509,                 1.5938,                0.99728,                      1,                  0.995,                0.85475,                0.64226,                0.56619,                 1.3787,              0.0008912,              0.0008912,              0.0008912
                    114,                 1.0546,                0.81128,                 1.6807,                0.99479,                      1,                  0.995,                0.86309,                0.63408,                0.54027,                 1.3762,              0.0008813,              0.0008813,              0.0008813
                    115,                0.95716,                0.77952,                 1.5898,                      1,                0.99591,                  0.995,                0.86632,                0.62666,                0.52177,                 1.3502,              0.0008714,              0.0008714,              0.0008714
                    116,                 1.0316,                0.84867,                 1.7152,                0.99732,                      1,                  0.995,                0.85797,                0.62012,                0.51885,                 1.3342,              0.0008615,              0.0008615,              0.0008615
                    117,                 1.1074,                0.86857,                 1.6813,                0.99759,                      1,                  0.995,                0.85382,                 0.6455,                0.53773,                 1.3621,              0.0008516,              0.0008516,              0.0008516
                    118,                 1.0488,                0.80408,                 1.7132,                0.99764,                      1,                  0.995,                 0.8581,                0.64876,                0.54827,                 1.3794,              0.0008417,              0.0008417,              0.0008417
                    119,                0.94146,                0.75176,                 1.6117,                0.99813,                      1,                  0.995,                0.86536,                0.65367,                0.54128,                 1.3859,              0.0008318,              0.0008318,              0.0008318
                    120,                 1.0778,                0.83527,                 1.6963,                0.99711,                      1,                  0.995,                0.86539,                0.67774,                0.58195,                 1.3893,              0.0008219,              0.0008219,              0.0008219
                    121,                  1.035,                0.81912,                 1.6605,                  0.997,                      1,                  0.995,                0.86745,                0.64865,                0.59117,                 1.3707,               0.000812,               0.000812,               0.000812
                    122,                 1.0372,                0.79542,                 1.6346,                0.99724,                      1,                  0.995,                 0.8705,                0.62037,                0.58379,                 1.3576,              0.0008021,              0.0008021,              0.0008021
                    123,                0.89785,                0.73494,                 1.5428,                0.99858,                      1,                  0.995,                0.87283,                0.62028,                0.55666,                 1.3373,              0.0007922,              0.0007922,              0.0007922
                    124,                 0.9605,                0.80903,                 1.5799,                0.98809,                      1,                  0.995,                0.87549,                 0.6199,                0.51068,                 1.3266,              0.0007823,              0.0007823,              0.0007823
